iter	Passed	Remaining
241	287542	415866
242	288980	415038
243	290623	414495
244	292138	413762
245	293666	413042
246	295240	412380
247	297010	411982
248	298479	411157
249	300098	410534
250	301781	409989
251	303472	409447
252	305092	408799
253	306703	408132
254	308317	407462
255	309940	406796
256	311533	406083
257	313148	405393
258	314515	404377
259	316099	403634
260	317702	402910
261	319350	402234
262	320925	401461
263	322575	400776
264	324127	399961
265	325796	399284
266	327381	398497
267	329001	397747
268	330477	396818
269	331979	395916
270	333550	395090
271	335226	394384
272	336832	393587
273	338310	392637
274	339762	391653
275	341251	390708
276	342850	389883
277	344518	389132
278	346053	388225
279	347607	387334
280	347648	384763
281	349213	383887
282	350896	383134
283	352491	382279
284	354185	381526
285	355696	380570
286	357358	379771
287	357395	377250
288	359072	376467
289	360736	375663
290	362342	374794
291	363852	373820
292	365271	372751
293	366682	371671
294	367342	369832
295	368912	368912
296	370387	367893
297	372082	367088
298	373744	366244
299	375309	365300
300	376907	364386
301	378601	363558
302	380102	362540
303	381620	361535
304	383059	360452
305	384321	359202
306	386015	358353
307	387509	357314
308	387537	354929
309	389174	354023
310	390763	353069
311	392609	352341
312	394334	351499
313	395926	350533
314	397326	349395
315	398954	348454
316	398977	346115
317	400624	345192
318	402424	344394
319	403873	343292
320	405509	342345
321	407105	341361
322	408674	340351
323	410292	339377
324	411694	338223
325	413301	337233
326	414898	336232
327	416683	335379
328	418395	334462
329	419985	333443
330	421686	332508
331	423050	331304
332	424697	330320
333	426338	329327
334	427941	328301
335	429424	327180
336	430878	326035
337	432419	324954
338	434035	323925
339	435660	322901
340	437321	321899
341	438983	320894
342	440536	319806
343	442306	318871
344	443942	317836
345	445621	316829
346	447185	315735
347	448913	314755
348	450569	313720
349	452190	312657
350	453709	311521
351	455362	310474
352	456947	309378
353	458400	308190
354	459832	306987
355	461509	305944
356	463102	304843
357	464886	303864
358	466534	302792
359	468167	301708
360	469793	300615
361	471350	299476
362	472924	298346
363	474465	297192
364	476100	296095
365	477726	294989
366	479386	293902
367	480957	292756
368	482615	291662
369	484333	290600
370	486028	289521
371	487680	288413
372	489066	287146
373	490725	286037
374	492358	284911
375	493861	283707
376	495403	282524
377	497162	281462
378	498841	280351
379	500509	279231
380	502195	278118
381	502240	276100
382	503924	274987
383	503955	272975
384	503999	270981
385	505445	269745
386	507127	268633
387	508632	267425
388	510219	266258
389	511859	265116
390	513621	264035
391	515368	262943
392	516900	261738
393	518526	260579
394	520121	259402
395	521816	258272
396	523360	257066
397	524936	255873
398	526388	254619
399	527922	253402
400	529311	252115
401	530958	250950
402	532560	249761
403	534090	248537
404	535824	247405
405	537643	246309
406	539129	245058
407	540719	243853
408	542202	242599
409	543855	241418
410	543884	239520
411	545614	238375
412	547167	237150
413	548779	235948
414	550499	234791
415	552160	233606
416	553901	232452
417	555393	231192
418	557053	230000
419	558941	228899
420	560492	227658
421	561980	226390
422	563639	225189
423	565328	223998
424	566960	222781
425	568555	221549
426	570173	220324
427	571746	219080
428	573303	217828
429	573336	216001
430	575073	214818
431	576716	213598
432	578356	212375
433	579869	211104
434	581461	209860
435	583069	208621
436	584670	207377
437	584702	205580
438	586319	204343
439	587985	203122
440	589578	201873
441	591253	200651
442	592888	199414
443	594485	198161
444	596107	196916
445	597757	195678
446	599431	194446
447	601042	193192
448	602632	191929
449	604289	190686
450	605909	189430
451	607397	188131
452	609071	186889
453	610623	185607
454	612242	184345
455	613705	183034
456	615382	181787
457	617000	180519
458	618677	179268
459	620350	178013
460	622047	176764
461	623746	175513
462	625342	174231
463	626964	172955
464	628629	171690
465	630396	170450
466	632073	169184
467	633844	167941
468	635445	166652
469	637043	165360
470	638730	164090
471	640367	162805
472	642072	161536
473	643752	160258
474	645497	158996
475	647300	157745
476	649018	156471
477	650593	155162
478	650609	153484
479	652177	152174
480	653745	150864
481	655357	149562
482	656988	148264
483	658633	146967
484	658654	145311
485	660351	144027
486	662043	142740
487	663688	141441
488	663715	139801
489	665377	138507
490	667011	137205
491	668633	135901
492	670274	134598
493	671983	133308
494	673671	132012
495	675268	130697
496	677059	129417
497	678714	128110
498	680308	126790
499	680323	125179
500	681980	123872
501	683556	122549
502	685305	121256
503	686967	119946
504	688592	118628
505	690227	117311
506	691943	116006
507	693616	114692
508	695240	113369
509	696937	112056
510	697263	110525
511	698929	109207
512	700508	107875
513	702240	106565
514	703982	105255
515	705793	103954
516	707428	102625
517	707445	101063
518	709148	99745
519	710761	98413
520	712443	97089
521	714056	95754
522	715554	94403
523	717036	93050
524	718564	91702
525	720321	90382
526	721850	89032
527	723392	87683
528	724957	86337
529	726542	84991
530	728046	83636
531	729496	82274
532	731066	80924
533	732733	79585
534	734414	78245
535	736073	76903
536	737782	75564
537	739388	74213
538	740879	72850
539	742546	71504
540	742590	70003
541	744168	68650
542	746020	67320
543	747492	65955
544	749281	64616
545	751061	63276
546	752672	61920
547	754303	60564
548	755767	59194
549	757513	57846
550	758957	56474
551	760680	55121
552	762188	53752
553	763626	52378
554	765150	51010
555	766848	49652
556	768518	48291
557	770131	46925
558	771787	45561
559	773383	44193
560	774875	42818
561	776556	41453
562	776580	40001
563	778193	38633
564	779861	37267
565	781716	35909
566	783277	34536
567	784884	33164
568	786552	31793
569	788088	30417
570	789706	29043
571	791333	27668
572	792972	26294
573	794548	24916
574	796307	23542
575	797555	22154
576	799166	20775
577	800731	19394
578	802239	18012
579	803898	16632
580	805551	15251
581	807162	13868
582	808863	12486
583	810398	11101
584	812090	9717
585	813616	8330
586	815317	6944
587	816962	5557
588	818656	4169
589	820428	2781
590	821935	1390
591	823570	0
